method,arm,seed,fold,AUC,PR_AUC
cross_channel,30m,123,4,0.9305194805194805,0.945810592847957
strip_jigsaw,30m,123,0,0.7779904306220096,0.7712159055201714
strip_jigsaw,30m,123,1,0.7471301020408163,0.768764693541239
strip_jigsaw,30m,123,2,0.6084183673469388,0.5272057623968187
strip_jigsaw,30m,123,3,0.8842592592592593,0.8952762716985101
strip_jigsaw,30m,123,4,0.7733766233766234,0.7972305853344147
sequential,30m,123,0,0.9451355661881977,0.9382256237126481
sequential,30m,123,1,0.7707270408163265,0.8016345297607895
sequential,30m,123,2,0.8670280612244898,0.7925933042850646
sequential,30m,123,3,0.917989417989418,0.9353448537674112
sequential,30m,123,4,0.9081168831168831,0.9291209210745979
scratch,30m,7,0,0.9413078149920255,0.9485223992246216
scratch,30m,7,1,0.7474489795918368,0.7442990460847422
scratch,30m,7,2,0.7764668367346939,0.6561339210957049
scratch,30m,7,3,0.9232804232804233,0.936425115460388
scratch,30m,7,4,0.8603896103896104,0.9046309223819617
masked_recon,30m,7,0,0.9311004784688995,0.9184842345207981
masked_recon,30m,7,1,0.7292729591836735,0.7362253419654919
masked_recon,30m,7,2,0.7707270408163265,0.6836090502468711
masked_recon,30m,7,3,0.9166666666666666,0.9419074651592215
masked_recon,30m,7,4,0.9376623376623376,0.9487835707264587
cross_channel,30m,7,0,0.9269537480063795,0.9321645490337448
cross_channel,30m,7,1,0.7806122448979592,0.7653127256131972
cross_channel,30m,7,2,0.7445790816326531,0.6993071966062008
cross_channel,30m,7,3,0.9222883597883598,0.9384522311175943
cross_channel,30m,7,4,0.9376623376623376,0.9483630118468936
strip_jigsaw,30m,7,0,0.8338118022328549,0.8222175667048139
strip_jigsaw,30m,7,1,0.7665816326530612,0.7476453063280746
strip_jigsaw,30m,7,2,0.5730229591836735,0.5121332783001885
strip_jigsaw,30m,7,3,0.8958333333333334,0.8691595188126835
strip_jigsaw,30m,7,4,0.827922077922078,0.8519726136486057
sequential,30m,7,0,0.9346092503987241,0.9338994246247784
sequential,30m,7,1,0.8169642857142857,0.8062778056425406
sequential,30m,7,2,0.7385204081632653,0.6911765650904267
sequential,30m,7,3,0.9123677248677249,0.9385129033132387
sequential,30m,7,4,0.9386363636363636,0.9404588634414797
scratch,10m,42,0,0.9326953748006379,0.9429377469681502
scratch,10m,42,1,0.8058035714285714,0.8337058531235216
scratch,10m,42,2,0.7448979591836735,0.6540378349405103
scratch,10m,42,3,0.957010582010582,0.96962049099627
scratch,10m,42,4,0.9727272727272728,0.9820058099305172
masked_recon,10m,42,0,0.9167464114832536,0.919592779054954
masked_recon,10m,42,1,0.8679846938775511,0.884946412748517
masked_recon,10m,42,2,0.8730867346938775,0.7834523849166557
masked_recon,10m,42,3,0.9014550264550265,0.9308074192165885
masked_recon,10m,42,4,0.9295454545454546,0.946246395017785
cross_channel,10m,42,0,0.9537480063795853,0.9625254210506496
cross_channel,10m,42,1,0.8392857142857143,0.8505266698002762
cross_channel,10m,42,2,0.8600127551020408,0.8352019275989503
cross_channel,10m,42,3,0.9345238095238095,0.9475160890439046
cross_channel,10m,42,4,0.9636363636363636,0.9718131442267074
strip_jigsaw,10m,42,0,0.8925039872408294,0.8992272456224724
strip_jigsaw,10m,42,1,0.7959183673469388,0.768449460595339
strip_jigsaw,10m,42,2,0.8303571428571429,0.7694163444209752
strip_jigsaw,10m,42,3,0.9209656084656085,0.9452609407314613
strip_jigsaw,10m,42,4,0.8298701298701299,0.8597831217803428
sequential,10m,42,0,0.9307814992025518,0.9326344809870839
sequential,10m,42,1,0.8494897959183674,0.8462925915444857
sequential,10m,42,2,0.8670280612244898,0.8219969401155518
sequential,10m,42,3,0.9262566137566137,0.9462430391259543
sequential,10m,42,4,0.938961038961039,0.958292150426679
scratch,10m,123,0,0.959170653907496,0.9666625848182527
scratch,10m,123,1,0.8737244897959183,0.8848745364177371
scratch,10m,123,2,0.7091836734693877,0.5956826476212785
scratch,10m,123,3,0.9457671957671958,0.9558664970887811
scratch,10m,123,4,0.9016233766233767,0.9262051525721324
masked_recon,10m,123,0,0.9304625199362041,0.9197625253137833
masked_recon,10m,123,1,0.8616071428571429,0.8875799153505669
masked_recon,10m,123,2,0.8861607142857143,0.8292381076110138
masked_recon,10m,123,3,0.9384920634920635,0.9595554687299274
masked_recon,10m,123,4,0.9571428571428572,0.9714241323253486
cross_channel,10m,123,0,0.9170653907496013,0.9304534609201185
cross_channel,10m,123,1,0.8679846938775511,0.8871723639742787
cross_channel,10m,123,2,0.717155612244898,0.7106017391472169
cross_channel,10m,123,3,0.9173280423280423,0.9424293186504705
cross_channel,10m,123,4,0.9412337662337662,0.9587348613234157
strip_jigsaw,10m,123,0,0.845933014354067,0.8539418293665547
strip_jigsaw,10m,123,1,0.8131377551020408,0.841756442661082
strip_jigsaw,10m,123,2,0.8348214285714286,0.8298042223609892
strip_jigsaw,10m,123,3,0.9378306878306878,0.9462359332714014
strip_jigsaw,10m,123,4,0.8402597402597403,0.8241918344148713
sequential,10m,123,0,0.9496012759170654,0.9573090341635396
sequential,10m,123,1,0.8855229591836735,0.8912606027246939
sequential,10m,123,2,0.8730867346938775,0.8339280770766153
sequential,10m,123,3,0.9375,0.9558254394440338
sequential,10m,123,4,0.9688311688311688,0.9779030089072113
scratch,10m,7,0,0.9460925039872409,0.9610648310494938
scratch,10m,7,1,0.8026147959183674,0.8133881110480433
scratch,10m,7,2,0.5902423469387755,0.5359648645325719
scratch,10m,7,3,0.9384920634920635,0.9557157009674394
scratch,10m,7,4,0.8136363636363636,0.8742480906872394
masked_recon,10m,7,0,0.9330143540669856,0.9404274393231739
masked_recon,10m,7,1,0.8463010204081632,0.8721848669740654
masked_recon,10m,7,2,0.8721301020408163,0.8013319397395404
masked_recon,10m,7,3,0.9285714285714286,0.9504554854262264
masked_recon,10m,7,4,0.9324675324675324,0.9500267781665553
cross_channel,10m,7,0,0.9674641148325359,0.976996538425828
cross_channel,10m,7,1,0.8612882653061225,0.8595241273396853
cross_channel,10m,7,2,0.5258290816326531,0.5543080338387089
cross_channel,10m,7,3,0.9358465608465608,0.9471920544376475
cross_channel,10m,7,4,0.9561688311688312,0.9703496266328923
strip_jigsaw,10m,7,0,0.9295055821371611,0.9424012631074107
strip_jigsaw,10m,7,1,0.8418367346938775,0.8626343267568839
strip_jigsaw,10m,7,2,0.8278061224489796,0.7959990594207801
strip_jigsaw,10m,7,3,0.9388227513227513,0.9500876582379522
strip_jigsaw,10m,7,4,0.887987012987013,0.908917550510059
sequential,10m,7,0,0.9569377990430622,0.9657127043957237
sequential,10m,7,1,0.8657525510204082,0.8809137795436397
sequential,10m,7,2,0.6766581632653061,0.635604301716829
sequential,10m,7,3,0.9467592592592593,0.9578541455482118
sequential,10m,7,4,0.964935064935065,0.9748271261265439
