model_display_name,model_key,pretraining,pretext_category,patch_size,fold,n_train,n_val,n_test,n_test_pos,n_test_neg,auc,pr_auc,accuracy_05,precision_05,recall_05,f1_05,best_threshold_f1,accuracy_best_f1,precision_best_f1,recall_best_f1,f1_best_f1,tn,fp,fn,tp,best_epoch,best_val_auc,best_val_loss
Rotation prediction,rotation_resnet18,rotation,Geometric,32,0,224,56,64,32,32,0.8564453125,0.8155824291220604,0.75,0.7105263157894737,0.84375,0.7714285714285714,0.1189738735556602,0.78125,0.7045454545454546,0.96875,0.8157894736842106,19,13,1,31,25,0.8290816326530612,0.7008391278130668
Rotation prediction,rotation_resnet18,rotation,Geometric,32,1,212,54,78,39,39,0.6988823142669297,0.702809205235874,0.6025641025641025,0.9,0.2307692307692307,0.3673469387755102,0.6535224318504333,0.5769230769230769,0.875,0.1794871794871795,0.2978723404255319,38,1,32,7,32,0.8189300411522634,0.7093355567366989
Rotation prediction,rotation_resnet18,rotation,Geometric,32,2,190,48,106,53,53,0.7244571021715913,0.6898523479061576,0.6698113207547169,0.6323529411764706,0.8113207547169812,0.7107438016528926,0.2607634663581848,0.5849056603773585,0.5473684210526316,0.981132075471698,0.7027027027027027,10,43,1,52,17,0.859375,0.4972229798634847
Rotation prediction,rotation_resnet18,rotation,Geometric,32,3,252,64,28,14,14,0.6020408163265306,0.6028022421089647,0.5,0.5,0.5714285714285714,0.5333333333333333,0.237470731139183,0.5714285714285714,0.5454545454545454,0.8571428571428571,0.6666666666666665,4,10,2,12,9,0.865234375,0.4741006270051002
Rotation prediction,rotation_resnet18,rotation,Geometric,32,4,220,56,68,34,34,0.745674740484429,0.6985090970208825,0.6323529411764706,0.7142857142857143,0.4411764705882353,0.5454545454545455,0.1923725754022598,0.6617647058823529,0.6410256410256411,0.7352941176470589,0.6849315068493151,20,14,9,25,13,0.8431122448979592,0.4999377727508545
Cross-channel masking,cross_channel_resnet18,cross_channel,Reconstruction-based,32,0,224,56,64,32,32,0.6376953125,0.6770431661779137,0.5,0.5,1.0,0.6666666666666666,0.7726698517799377,0.609375,0.6060606060606061,0.625,0.6153846153846154,19,13,12,20,6,0.8316326530612245,0.8304695572171893
Cross-channel masking,cross_channel_resnet18,cross_channel,Reconstruction-based,32,1,212,54,78,39,39,0.8382642998027613,0.8425479321041015,0.5,0.5,1.0,0.6666666666666666,0.7600749135017395,0.7564102564102564,0.8125,0.6666666666666666,0.7323943661971831,33,6,13,26,6,0.7983539094650206,0.8048154800026505
Cross-channel masking,cross_channel_resnet18,cross_channel,Reconstruction-based,32,2,190,48,106,53,53,0.7216091135635457,0.7215671128573994,0.5094339622641509,0.5047619047619047,1.0,0.6708860759493671,0.511216402053833,0.5754716981132075,0.5416666666666666,0.981132075471698,0.697986577181208,9,44,1,52,1,0.7916666666666666,0.6624073187510172
Cross-channel masking,cross_channel_resnet18,cross_channel,Reconstruction-based,32,3,252,64,28,14,14,0.7346938775510204,0.7386111903969048,0.5,0.5,1.0,0.6666666666666666,0.7753620743751526,0.5714285714285714,0.55,0.7857142857142857,0.6470588235294117,5,9,3,11,4,0.7744140625,0.8232545703649521
Cross-channel masking,cross_channel_resnet18,cross_channel,Reconstruction-based,32,4,220,56,68,34,34,0.7889273356401384,0.7934467379978454,0.5,0.5,1.0,0.6666666666666666,0.7382064461708069,0.7647058823529411,0.8214285714285714,0.6764705882352942,0.7419354838709677,29,5,11,23,5,0.7257653061224489,0.827302702835628
Strip jigsaw,strip_jigsaw_resnet18,strip_jigsaw,Spatial-ordering,32,0,224,56,64,32,32,0.3759765625,0.4585857894967162,0.5,0.5,1.0,0.6666666666666666,0.8277448415756226,0.390625,0.425531914893617,0.625,0.5063291139240507,5,27,12,20,6,0.6198979591836735,1.0100058828081404
Strip jigsaw,strip_jigsaw_resnet18,strip_jigsaw,Spatial-ordering,32,1,212,54,78,39,39,0.6239316239316239,0.6110480552297429,0.5,0.5,1.0,0.6666666666666666,0.7815747857093811,0.5641025641025641,0.543859649122807,0.7948717948717948,0.6458333333333333,13,26,8,31,6,0.6968449931412894,0.908846409232528
Strip jigsaw,strip_jigsaw_resnet18,strip_jigsaw,Spatial-ordering,32,2,190,48,106,53,53,0.5396938412246352,0.515857486901659,0.5,0.5,1.0,0.6666666666666666,0.7439388036727905,0.5566037735849056,0.532608695652174,0.9245283018867924,0.6758620689655174,10,43,4,49,6,0.5486111111111112,0.8855124910672506
Strip jigsaw,strip_jigsaw_resnet18,strip_jigsaw,Spatial-ordering,32,3,252,64,28,14,14,0.6479591836734694,0.6797373494852487,0.5,0.5,1.0,0.6666666666666666,0.8596554398536682,0.5,0.5,0.9285714285714286,0.65,1,13,1,13,6,0.529296875,1.152903363108635
Strip jigsaw,strip_jigsaw_resnet18,strip_jigsaw,Spatial-ordering,32,4,220,56,68,34,34,0.6513840830449827,0.6247243933273562,0.5,0.5,1.0,0.6666666666666666,0.7512590289115906,0.6029411764705882,0.5813953488372093,0.7352941176470589,0.6493506493506493,16,18,9,25,4,0.5829081632653061,0.8696973408971514
